Date,Handle,GGR,Brand
2022-07-17,76515687,3351564.2399999984,FanDuel
2022-07-17,3793189,235403.25,Fanatics
2022-07-17,1078075,82325.81999999999,Resorts World Bet
2022-07-17,4493100,252225.56,Rush Street Interactive
2022-07-24,20387153,2219462.464000017,Caesars Sport Book
2022-07-24,38178600,3595500.080003,DraftKings Sport Book
2022-07-24,1131806,61310.719999999994,ESPN Bet
2022-07-24,67282969,4480760.85,FanDuel
2022-07-24,2282007,305517.0499999999,Fanatics
2022-07-24,991051,76431.16999999998,Resorts World Bet
2022-07-24,3590542,155316.39000000028,Rush Street Interactive
2022-07-31,24955129,1645226.974499628,Caesars Sport Book
2022-07-31,44240502,4884212.419989003,DraftKings Sport Book
2022-07-31,1508157,122182.69999999995,ESPN Bet
2022-07-31,79877586,13018290.650000004,FanDuel
2022-07-31,4120319,455250.01,Fanatics
2022-07-31,1165574,33798.960000000036,Resorts World Bet
2022-07-31,4504709,254754.85999999807,Rush Street Interactive
2022-08-07,27835617,2593044.5362495133,Caesars Sport Book
2022-08-07,54770124,5385181.680000001,DraftKings Sport Book
2022-08-07,1475361,134628.96000000037,ESPN Bet
2022-08-07,84143469,9853197.459999993,FanDuel
2022-08-07,4100643,766203.0499999998,Fanatics
2022-08-07,1037579,30018.969999999987,Resorts World Bet
2022-08-07,4734019,398299.5899999997,Rush Street Interactive
2022-08-14,26364363,2651787.9164165524,Caesars Sport Book
2022-08-14,57188045,4940632.729998,DraftKings Sport Book
2022-08-14,1496821,59340.31000000036,ESPN Bet
2022-08-14,82615716,10494947.109999998,FanDuel
2022-08-14,6154080,551450.1099999999,Fanatics
2022-08-14,842538,100854.98000000001,Resorts World Bet
2022-08-14,5697548,354023.95000000106,Rush Street Interactive
2022-08-21,26880134,2991495.3837499903,Caesars Sport Book
2022-08-21,55271472,6582689.069999998,DraftKings Sport Book
2022-08-21,1618152,22602.74000000031,ESPN Bet
2022-08-21,85456333,12043779.84,FanDuel
2022-08-21,1098300,106512.29,Resorts World Bet
2022-08-21,6804171,544985.0400000017,Rush Street Interactive
2022-08-28,26343973,2913338.6887499737,Caesars Sport Book
2022-08-28,53776211,4500970.3199849995,DraftKings Sport Book
2022-08-28,1501889,113337.20999999999,ESPN Bet
2022-08-28,83722084,8815077.82,FanDuel
2022-08-28,4535997,928657.3599999999,Fanatics
2022-08-28,1043806,62571.71999999999,Resorts World Bet
2022-08-28,6308364,410632.5899999974,Rush Street Interactive
2022-09-04,29087256,2945606.265500008,Caesars Sport Book
2022-09-04,70506262,8305277.179994996,DraftKings Sport Book
2022-09-04,2016651,143687.56999999995,ESPN Bet
2022-09-04,106812938,13116112.770000001,FanDuel
2022-09-04,7403422,333251.9500000001,Fanatics
2022-09-04,1082111,83316.33999999997,Resorts World Bet
2022-09-04,7102139,577243.6700000018,Rush Street Interactive
2022-09-11,43078902,4315489.52894873,Caesars Sport Book
2022-09-11,116992927,8088272.079813999,DraftKings Sport Book
2022-09-11,2254457,198975.7299999998,ESPN Bet
2022-09-11,128713121,17152225.110000007,FanDuel
2022-09-11,4878765,627627.0099999997,Fanatics
2022-09-11,8610345,642761.4400000002,Rush Street Interactive
2022-09-18,40984922,5308709.572246805,Caesars Sport Book
2022-09-18,104990543,13383944.879994005,DraftKings Sport Book
2022-09-18,2146545,116492.08999999994,ESPN Bet
2022-09-18,109242865,17633488.690000005,FanDuel
2022-09-18,5696092,465737.6299999998,Fanatics
2022-09-18,2015367,58618.050000000105,Resorts World Bet
2022-09-18,7765052,613409.2299999993,Rush Street Interactive
2022-09-25,39429501,3818314.4054973205,Caesars Sport Book
2022-09-25,97694658,10040540.320000008,DraftKings Sport Book
2022-09-25,122029798,13318008.269999998,FanDuel
2022-09-25,5834410,17570.129999999946,Fanatics
2022-09-25,1451904,217419.31,Resorts World Bet
2022-09-25,8797192,454251.89999999304,Rush Street Interactive
2022-10-02,40406056,852994.277998325,Caesars Sport Book
2022-10-02,111447099,4423551.089999997,DraftKings Sport Book
2022-10-02,2127661,129233.99999999977,ESPN Bet
2022-10-02,127854600,10407552.679999992,FanDuel
2022-10-02,7085016,189201.3500000001,Fanatics
2022-10-02,1351514,45652.09999999993,Resorts World Bet
2022-10-02,10112118,32266.14999999001,Rush Street Interactive
2022-10-09,41863201,5304036.320747592,Caesars Sport Book
2022-10-09,110889390,14012921.649910003,DraftKings Sport Book
2022-10-09,1847684,141148.19999999978,ESPN Bet
2022-10-09,123884382,19501393.939999998,FanDuel
2022-10-09,9200007,395194.8700000006,Fanatics
2022-10-09,1389539,140435.48000000004,Resorts World Bet
2022-10-09,8781479,857327.8299999943,Rush Street Interactive
2022-10-16,39938492,3321993.391247302,Caesars Sport Book
2022-10-16,114322412,10172498.729990005,DraftKings Sport Book
2022-10-16,1919436,71787.93000000007,ESPN Bet
2022-10-16,126603133,20231311.54,FanDuel
2022-10-16,7816243,738856.1499999997,Fanatics
2022-10-16,1447348,87526.20999999992,Resorts World Bet
2022-10-16,8418537,690995.0000000058,Rush Street Interactive
2022-10-23,45944387,3835624.4129982553,Caesars Sport Book
2022-10-23,126849569,10841852.040153004,DraftKings Sport Book
2022-10-23,2092544,156845.65000000066,ESPN Bet
2022-10-23,145517906,15213893.540000005,FanDuel
2022-10-23,9066736,905904.32,Fanatics
2022-10-23,1470309,180777.67999999996,Resorts World Bet
2022-10-23,9649695,633599.9499999924,Rush Street Interactive
2022-10-30,43011142,4499153.25849844,Caesars Sport Book
2022-10-30,113578924,8766468.880082,DraftKings Sport Book
2022-10-30,2015384,389437.25999999966,ESPN Bet
2022-10-30,140652403,17982660.49,FanDuel
2022-10-30,8714303,292942.31,Fanatics
2022-10-30,1824697,34475.78,Resorts World Bet
2022-10-30,9133743,252815.949999998,Rush Street Interactive
2022-11-06,44143743,4174846.192249,Caesars Sport Book
2022-11-06,118052648,11425595.339935,DraftKings Sport Book
2022-11-06,2031406,142271.88999999984,ESPN Bet
2022-11-06,142484157,19938736.359999996,FanDuel
2022-11-06,9689178,787420.19,Fanatics
2022-11-06,9958359,1006307.9600000062,Rush Street Interactive
2022-11-13,43716729,3154889.03699904,Caesars Sport Book
2022-11-13,111109051,7944656.830079,DraftKings Sport Book
2022-11-13,2058045,434.83999999961816,ESPN Bet
2022-11-13,140138145,17345959.53,FanDuel
2022-11-13,8875037,496254.6200000001,Fanatics
2022-11-13,1439986,48267.3000000001,Resorts World Bet
2022-11-13,7728114,485491.539999992,Rush Street Interactive
2022-11-20,44409637,4812668.743749427,Caesars Sport Book
2022-11-20,108536966,11870971.719985003,DraftKings Sport Book
2022-11-20,144209843,21961070.04,FanDuel
2022-11-20,9078102,697391.62,Fanatics
2022-11-20,1187473,122016.38,Resorts World Bet
2022-11-20,8202700,470829.0999999929,Rush Street Interactive
2022-11-27,56145471,2803348.44699991,Caesars Sport Book
2022-11-27,135120849,11228829.529913,DraftKings Sport Book
2022-11-27,181216921,17220944.400000002,FanDuel
2022-11-27,11292600,256334.0900000009,Fanatics
2022-11-27,1337735,118894.01,Resorts World Bet
2022-11-27,10732805,477679.9499999976,Rush Street Interactive
2022-12-04,50676211,2454583.26149905,Caesars Sport Book
2022-12-04,124808357,8417204.57999801,DraftKings Sport Book
2022-12-04,2289796,122494.03,ESPN Bet
2022-12-04,151714670,19035762.600000005,FanDuel
2022-12-04,7840265,323272.9299999997,Fanatics
2022-12-04,1350801,31910.31,Resorts World Bet
2022-12-04,10586753,96239.4200000055,Rush Street Interactive
2022-12-11,45393726,5831525.735249643,Caesars Sport Book
2022-12-11,110262991,13289753.349966994,DraftKings Sport Book
2022-12-11,2241134,49172.06000000058,ESPN Bet
2022-12-11,141063484,20787305.220000006,FanDuel
2022-12-11,8649868,651134.5299999999,Fanatics
2022-12-11,1269110,179088.47999999998,Resorts World Bet
2022-12-11,9806668,768731.4499999942,Rush Street Interactive
2022-12-18,45593400,1509761.571,Caesars Sport Book
2022-12-18,120798094,2955042.769988,DraftKings Sport Book
2022-12-18,2278495,99433.71999999927,ESPN Bet
2022-12-18,143741375,3994315.76,FanDuel
2022-12-18,9584100,310696.230000004,Rush Street Interactive
2022-12-25,45812402,3510595.021499941,Caesars Sport Book
2022-12-25,106618740,10950053.889991999,DraftKings Sport Book
2022-12-25,1749118,90868.55000000031,ESPN Bet
2022-12-25,151416609,19546514.720000003,FanDuel
2022-12-25,10431059,670395.4600000005,Fanatics
2022-12-25,962390,26208.5,Resorts World Bet
2022-12-25,8242151,597114.329999996,Rush Street Interactive
2023-01-01,52983702,2683230.1200004322,Caesars Sport Book
2023-01-01,126510190,7093231.710101005,DraftKings Sport Book
2023-01-01,160249037,12412468.32,FanDuel
2023-01-01,29852301,150057.0400000012,Fanatics
2023-01-01,1380133,85173.54000000001,Resorts World Bet
2023-01-01,10494789,342416.35999999044,Rush Street Interactive
2023-01-08,51689066,1670891.7145000314,Caesars Sport Book
2023-01-08,142489697,10322868.824546006,DraftKings Sport Book
2023-01-08,2341147,128186.27999999933,ESPN Bet
2023-01-08,158423854,15613883.940000014,FanDuel
2023-01-08,7697026,604286.0000000001,Fanatics
2023-01-08,1095761,137942.94,Resorts World Bet
2023-01-08,9711321,277860.6200000049,Rush Street Interactive
2023-01-15,52394506,2958423.022500002,Caesars Sport Book
2023-01-15,139933843,3862914.1955219936,DraftKings Sport Book
2023-01-15,2055369,115473.77999999936,ESPN Bet
2023-01-15,171986295,18643518.700000003,FanDuel
2023-01-15,16514497,452443.03,Fanatics
2023-01-15,944150,42673.66000000005,Resorts World Bet
2023-01-15,10842573,425646.5499999962,Rush Street Interactive
2023-01-22,57527200,6077120.055000186,Caesars Sport Book
2023-01-22,152365141,20241156.509990014,DraftKings Sport Book
2023-01-22,2906151,107704.92000000004,ESPN Bet
2023-01-22,182396199,26569171.220000003,FanDuel
