Date,Handle,GGR,Brand
2022-01-09,67420615,8582934.0,Caesars Sport Book
2022-01-09,2136535,517129.0,Rush Street Interactive
2022-01-16,190230584,14131805.0,Caesars Sport Book
2022-01-16,8497137,-70433.0,Rush Street Interactive
2022-01-23,229709718,19036117.0,Caesars Sport Book
2022-01-23,11561320,784797.0,Rush Street Interactive
2022-01-30,128143427,14136472.0,Caesars Sport Book
2022-01-30,29465195,2336813.0,Fanatics
2022-01-30,10229325,-394458.0,Rush Street Interactive
2022-02-06,87152547,8770610.0,Caesars Sport Book
2022-02-06,251356,33657.0,ESPN Bet
2022-02-06,12227944,186059.0,Fanatics
2022-02-06,8437014,762243.0,Rush Street Interactive
2022-02-13,107211596,5821284.0,Caesars Sport Book
2022-02-13,1101825,174062.0,ESPN Bet
2022-02-13,12123823,880727.0,Fanatics
2022-02-13,11499208,284625.0,Rush Street Interactive
2022-02-20,65811646,4228911.0,Caesars Sport Book
2022-02-20,1508285,212059.0,ESPN Bet
2022-02-20,13819780,1577153.0,Fanatics
2022-02-20,8750825,535745.0,Rush Street Interactive
2022-02-27,68267344,4031201.0,Caesars Sport Book
2022-02-27,2000044,311265.0,ESPN Bet
2022-02-27,14359673,691921.0,Fanatics
2022-02-27,8481025,598149.0,Rush Street Interactive
2022-03-06,64828926,5413752.0,Caesars Sport Book
2022-03-06,2346213,304816.0,ESPN Bet
2022-03-06,6306736,717963.0,Fanatics
2022-03-06,742109,93002.0,Resorts World Bet
2022-03-06,8850263,549318.0,Rush Street Interactive
2022-03-13,66859247,7615132.0,Caesars Sport Book
2022-03-13,2357779,391224.0,ESPN Bet
2022-03-13,8555896,409198.0,Fanatics
2022-03-13,1433637,177295.0,Resorts World Bet
2022-03-13,10649132,372390.0,Rush Street Interactive
2022-03-20,67758590,4352538.0,Caesars Sport Book
2022-03-20,2249686,223775.0,ESPN Bet
2022-03-20,23970604,1100430.0,Fanatics
2022-03-20,1240084,95942.0,Resorts World Bet
2022-03-20,10950091,718167.0,Rush Street Interactive
2022-03-27,56915566,2277522.0,Caesars Sport Book
2022-03-27,1973837,193592.0,ESPN Bet
2022-03-27,7297398,460360.0,Fanatics
2022-03-27,1108773,87231.0,Resorts World Bet
2022-03-27,8040398,-48365.0,Rush Street Interactive
