Date,Handle,GGR,Brand
2022-01-09,67420615,8582934.0,Caesars Sport Book
2022-01-09,38505013,7026956.0,DraftKings Sport Book
2022-01-09,63236093,-2725965.0,FanDuel
2022-01-09,2136535,517129.0,Rush Street Interactive
2022-01-16,190230584,14131805.0,Caesars Sport Book
2022-01-16,95912065,3895593.0,DraftKings Sport Book
2022-01-16,137115792,16866764.0,FanDuel
2022-01-16,8497137,-70433.0,Rush Street Interactive
2022-01-23,40569269,2514702.0,BetMGM
2022-01-23,229709718,19036117.0,Caesars Sport Book
2022-01-23,131058363,10828664.0,DraftKings Sport Book
2022-01-23,159653476,10038212.0,FanDuel
2022-01-23,11561320,784797.0,Rush Street Interactive
2022-01-30,37503630,710277.0,BetMGM
2022-01-30,128143427,14136472.0,Caesars Sport Book
2022-01-30,102185797,5347568.0,DraftKings Sport Book
2022-01-30,141786622,-564868.0,FanDuel
2022-01-30,29465195,2336813.0,Fanatics
2022-01-30,10229325,-394458.0,Rush Street Interactive
2022-02-06,34260676,443110.0,BetMGM
2022-02-06,87152547,8770610.0,Caesars Sport Book
2022-02-06,87253254,8689766.0,DraftKings Sport Book
2022-02-06,251356,33657.0,ESPN Bet
2022-02-06,130256763,6632391.0,FanDuel
2022-02-06,12227944,186059.0,Fanatics
2022-02-06,8437014,762243.0,Rush Street Interactive
2022-02-13,43304190,-362488.0,BetMGM
2022-02-13,107211596,5821284.0,Caesars Sport Book
2022-02-13,121457820,11322420.0,DraftKings Sport Book
2022-02-13,1101825,174062.0,ESPN Bet
2022-02-13,175437706,-2726650.0,FanDuel
2022-02-13,12123823,880727.0,Fanatics
2022-02-13,11499208,284625.0,Rush Street Interactive
2022-02-20,39060165,2120843.0,BetMGM
2022-02-20,65811646,4228911.0,Caesars Sport Book
2022-02-20,93866155,4463927.0,DraftKings Sport Book
2022-02-20,1508285,212059.0,ESPN Bet
2022-02-20,130615127,12298065.0,FanDuel
2022-02-20,13819780,1577153.0,Fanatics
2022-02-20,8750825,535745.0,Rush Street Interactive
2022-02-27,37841561,1909477.0,BetMGM
2022-02-27,68267344,4031201.0,Caesars Sport Book
2022-02-27,87378019,7357054.0,DraftKings Sport Book
2022-02-27,2000044,311265.0,ESPN Bet
2022-02-27,131988617,10438399.0,FanDuel
2022-02-27,14359673,691921.0,Fanatics
2022-02-27,8481025,598149.0,Rush Street Interactive
2022-03-06,38904802,1206985.0,BetMGM
